Date,Open,High,Low,Close,Adj Close,Volume
03-01-1962,0,1.444702,1.427952,1.436327,0.630355,77611
04-01-1962,0,1.438421,1.411202,1.423765,0.624842,59701
05-01-1962,0,1.43214,1.394452,1.41539,0.621167,107462
08-01-1962,0,1.43214,1.390264,1.390264,0.61014,89551
09-01-1962,0,1.402827,1.356764,1.356764,0.595438,83581
10-01-1962,0,1.386077,1.373514,1.386077,0.608302,29850
11-01-1962,0,1.386077,1.373514,1.377702,0.604627,47761
12-01-1962,0,1.407015,1.377702,1.407015,0.617491,89551
15-01-1962,0,1.461453,1.407015,1.461453,0.641382,179103
16-01-1962,0,1.457265,1.44889,1.457265,0.639544,95521
17-01-1962,0,1.453078,1.402827,1.411202,0.619329,149252
18-01-1962,0,1.41539,1.390264,1.41539,0.621167,47761
19-01-1962,0,1.419577,1.394452,1.398639,0.613816,35821
22-01-1962,0,1.427952,1.394452,1.419577,0.623004,137312
23-01-1962,0,1.419577,1.394452,1.398639,0.613816,53731
24-01-1962,0,1.402827,1.373514,1.402827,0.615654,125372
25-01-1962,0,1.402827,1.365139,1.365139,0.599114,107462
26-01-1962,0,1.369327,1.352577,1.352577,0.5936,107462
29-01-1962,0,1.356764,1.323264,1.323264,0.580736,35821
30-01-1962,0,1.329545,1.316982,1.323264,0.580736,59701
31-01-1962,0,1.340014,1.329545,1.331639,0.584411,71641
01-02-1962,0,1.335826,1.335826,1.335826,0.586249,17910
02-02-1962,0,1.348389,1.340014,1.348389,0.591762,17910
05-02-1962,0,1.407015,1.344201,1.407015,0.617491,101491
06-02-1962,0,1.407015,1.407015,1.407015,0.617491,41791
07-02-1962,0,1.407015,1.402827,1.402827,0.615654,17910
08-02-1962,0,1.402827,1.402827,1.402827,0.615654,23880
09-02-1962,0,1.394452,1.348389,1.365139,0.599114,65671
12-02-1962,0,1.365139,1.352577,1.365139,0.599114,17910
13-02-1962,0,1.373514,1.365139,1.365139,0.599114,83581
14-02-1962,0,1.394452,1.386077,1.394452,0.611978,59701
15-02-1962,0,1.41539,1.394452,1.41539,0.621167,29850
16-02-1962,0,1.440515,1.423765,1.434234,0.629437,155222
19-02-1962,0,1.444702,1.43214,1.436327,0.630355,41791
20-02-1962,0,1.440515,1.398639,1.398639,0.613816,41791
21-02-1962,0,1.423765,1.411202,1.41539,0.621167,41791
23-02-1962,0,1.394452,1.375608,1.375608,0.603708,53731
26-02-1962,0,1.365139,1.360952,1.365139,0.599114,41791
27-02-1962,0,1.365139,1.352577,1.358858,0.596357,17910
28-02-1962,0,1.381889,1.360952,1.381889,0.606464,59701
01-03-1962,0,1.390264,1.373514,1.381889,0.606464,41791
02-03-1962,0,1.394452,1.383983,1.394452,0.611978,47761
05-03-1962,0,1.390264,1.377702,1.390264,0.61014,23880
06-03-1962,0,1.41539,1.398639,1.407015,0.617491,41791
07-03-1962,0,1.41539,1.411202,1.411202,0.619329,17910
08-03-1962,0,1.427952,1.407015,1.427952,0.62668,53731
09-03-1962,0,1.436327,1.423765,1.423765,0.624842,65671
12-03-1962,0,1.423765,1.402827,1.423765,0.624842,47761
13-03-1962,0,1.440515,1.419577,1.436327,0.630355,113432
14-03-1962,0,1.499141,1.423765,1.499141,0.657923,286564
15-03-1962,0,1.499141,1.474015,1.48239,0.650571,208953
16-03-1962,0,1.486578,1.457265,1.457265,0.639544,137312
19-03-1962,0,1.469828,1.43214,1.440515,0.632193,101491
20-03-1962,0,1.453078,1.436327,1.436327,0.630355,59701
21-03-1962,0,1.423765,1.409108,1.419577,0.623004,47761
22-03-1962,0,1.436327,1.407015,1.423765,0.624842,143282
23-03-1962,0,1.436327,1.427952,1.436327,0.630355,11940
26-03-1962,0,1.436327,1.423765,1.425859,0.625761,65671
27-03-1962,0,1.43214,1.41539,1.41539,0.622997,29850
28-03-1962,0,1.423765,1.402827,1.402827,0.617467,65671
29-03-1962,0,1.41539,1.398639,1.398639,0.615624,41791
30-03-1962,0,1.41539,1.356764,1.360952,0.599035,161192
02-04-1962,0,1.386077,1.373514,1.373514,0.604564,53731
03-04-1962,0,1.381889,1.340014,1.340014,0.589819,77611
04-04-1962,0,1.342108,1.331639,1.331639,0.586133,11940
05-04-1962,0,1.344201,1.302326,1.344201,0.591662,101491
06-04-1962,0,1.340014,1.335826,1.340014,0.589819,17910
09-04-1962,0,1.335826,1.331639,1.331639,0.586133,17910
10-04-1962,0,1.352577,1.340014,1.340014,0.589819,47761
11-04-1962,0,1.356764,1.340014,1.35467,0.59627,71641
12-04-1962,0,1.331639,1.281388,1.298138,0.571387,95521
13-04-1962,0,1.281388,1.256263,1.264638,0.556642,131342
16-04-1962,0,1.273013,1.2437,1.256263,0.552955,53731
17-04-1962,0,1.298138,1.256263,1.298138,0.571387,41791
18-04-1962,0,1.340014,1.314889,1.323264,0.582446,95521
19-04-1962,0,1.381889,1.340014,1.373514,0.604564,101491
23-04-1962,0,1.386077,1.373514,1.386077,0.610094,53731
24-04-1962,0,1.383983,1.373514,1.379796,0.60733,53731
25-04-1962,0,1.381889,1.356764,1.356764,0.597192,89551
26-04-1962,0,1.340014,1.306514,1.314889,0.57876,59701
27-04-1962,0,1.340014,1.316982,1.331639,0.586133,101491
30-04-1962,0,1.306514,1.293951,1.293951,0.569544,53731
01-05-1962,0,1.298138,1.239513,1.298138,0.571387,155222
02-05-1962,0,1.340014,1.319076,1.319076,0.580603,113432
03-05-1962,0,1.340014,1.298138,1.340014,0.589819,47761
04-05-1962,0,1.348389,1.306514,1.308607,0.575995,65671
07-05-1962,0,1.306514,1.289763,1.298138,0.571387,83581
08-05-1962,0,1.314889,1.281388,1.281388,0.564014,23880
09-05-1962,0,1.277201,1.231138,1.231138,0.541896,155222
10-05-1962,0,1.260451,1.206013,1.260451,0.554799,83581
11-05-1962,0,1.268826,1.235325,1.2437,0.547426,113432
14-05-1962,0,1.237419,1.195544,1.233232,0.542818,191043
15-05-1962,0,1.314889,1.264638,1.314889,0.57876,149252
16-05-1962,0,1.314889,1.289763,1.306514,0.575074,155222
17-05-1962,0,1.306514,1.273013,1.289763,0.567701,101491
18-05-1962,0,1.264638,1.235325,1.256263,0.552955,59701
21-05-1962,0,1.252075,1.212294,1.214388,0.534524,101491
22-05-1962,0,1.214388,1.164137,1.164137,0.512406,220893
23-05-1962,0,1.206013,1.147387,1.147387,0.505033,238803
24-05-1962,0,1.19345,1.15995,1.172512,0.516092,226863
25-05-1962,0,1.180887,1.109699,1.134824,0.499503,441786
28-05-1962,0,1.122262,1.092949,1.092949,0.481071,573128
29-05-1962,0,1.101324,1.042698,1.101324,0.484758,471637
31-05-1962,0,1.164137,1.109699,1.134824,0.499503,316415
01-06-1962,0,1.126449,1.092949,1.122262,0.493974,179103
04-06-1962,0,1.107605,1.080386,1.08248,0.476463,304474
05-06-1962,0,1.069917,1.009198,1.042698,0.458953,364175
06-06-1962,0,1.074105,1.046886,1.059448,0.466326,149252
07-06-1962,0,1.084574,1.063636,1.06573,0.46909,47761
08-06-1962,0,1.092949,1.067824,1.088761,0.479228,101491
11-06-1962,0,1.084574,1.072011,1.072011,0.471856,197013
12-06-1962,0,1.051073,1.00501,1.00501,0.442364,125372
13-06-1962,0,1.011292,0.97151,0.97151,0.427619,405966
14-06-1962,0,0.97151,0.900322,0.900322,0.396285,274624
15-06-1962,0,1.055261,0.891947,1.055261,0.464483,292534
18-06-1962,0,1.055261,0.975698,0.98826,0.434992,370145
19-06-1962,0,1.017573,0.975698,0.992448,0.436835,161192
20-06-1962,0,1.030136,0.992448,0.994542,0.437757,197013
21-06-1962,0,0.975698,0.92126,0.93801,0.412873,268654
22-06-1962,0,0.95476,0.910791,0.912884,0.401814,274624
25-06-1962,0,0.97151,0.887759,0.952666,0.419325,370145
26-06-1962,0,0.950572,0.891947,0.896134,0.396183,973124
27-06-1962,0,0.919166,0.864728,0.904509,0.399886,591039
28-06-1962,0,0.942197,0.904509,0.925447,0.409142,477607
29-06-1962,0,0.95476,0.92126,0.933822,0.412845,256714
02-07-1962,0,0.950572,0.917072,0.917072,0.40544,298504
03-07-1962,0,0.948479,0.925447,0.929635,0.410994,244774
05-07-1962,0,0.95476,0.931728,0.93801,0.414697,185073
06-07-1962,0,0.929635,0.891947,0.912884,0.403588,202983
09-07-1962,0,0.914978,0.887759,0.914978,0.404514,292534
10-07-1962,0,0.950572,0.896134,0.904509,0.399886,531338
11-07-1962,0,0.92126,0.896134,0.919166,0.406365,579098
12-07-1962,0,0.95476,0.927541,0.933822,0.412845,1020885
13-07-1962,0,0.933822,0.917072,0.929635,0.410994,435816
16-07-1962,0,0.935916,0.912884,0.933822,0.412845,388056
17-07-1962,0,0.967323,0.910791,0.912884,0.403588,1564163
18-07-1962,0,0.935916,0.887759,0.925447,0.409142,746261
19-07-1962,0,0.950572,0.923353,0.923353,0.408217,238803
20-07-1962,0,0.935916,0.92126,0.927541,0.410068,77611
23-07-1962,0,0.93801,0.927541,0.929635,0.410994,191043
24-07-1962,0,0.933822,0.925447,0.925447,0.409142,202983
25-07-1962,0,0.92126,0.904509,0.92126,0.407291,286564
26-07-1962,0,0.958947,0.925447,0.948479,0.419325,1582073
27-07-1962,0,0.965229,0.950572,0.958947,0.423953,459697
30-07-1962,0,0.996635,0.967323,0.996635,0.440615,614919
31-07-1962,0,1.017573,0.98826,1.002917,0.443392,710440
01-08-1962,0,1.00501,0.977791,0.979885,0.43321,346265
02-08-1962,0,0.98826,0.969416,0.977791,0.432284,298504
03-08-1962,0,0.984073,0.977791,0.979885,0.43321,232833
06-08-1962,0,0.984073,0.975698,0.975698,0.431359,1438791
07-08-1962,0,0.973604,0.93801,0.956854,0.423028,274624
08-08-1962,0,0.97151,0.950572,0.97151,0.429507,238803
09-08-1962,0,0.97151,0.95476,0.967323,0.427656,226863
10-08-1962,0,0.958947,0.93801,0.944291,0.417473,364175
13-08-1962,0,0.950572,0.929635,0.950572,0.42025,185073
14-08-1962,0,0.979885,0.93801,0.975698,0.431359,411936
15-08-1962,0,1.002917,0.981979,0.986166,0.435986,513428
16-08-1962,0,1.009198,0.975698,0.990354,0.437838,316415
17-08-1962,0,1.000823,0.979885,0.990354,0.437838,161192
20-08-1962,0,1.032229,0.992448,1.009198,0.446169,662680
21-08-1962,0,1.017573,0.973604,0.98826,0.436912,238803
22-08-1962,0,1.028042,0.979885,1.021761,0.451723,340295
23-08-1962,0,1.042698,1.000823,1.000823,0.442467,704470
24-08-1962,0,1.030136,1.002917,1.019667,0.450798,370145
27-08-1962,0,1.036417,1.013386,1.021761,0.451723,232833
28-08-1962,0,1.009198,0.981979,0.98826,0.436912,328355
29-08-1962,0,0.996635,0.967323,0.98826,0.436912,286564
30-08-1962,0,0.994542,0.975698,0.98826,0.436912,119402
31-08-1962,0,1.009198,0.984073,1.009198,0.446169,185073
04-09-1962,0,1.021761,0.984073,0.984073,0.435061,197013
05-09-1962,0,1.000823,0.977791,0.979885,0.43321,232833
06-09-1962,0,1.000823,0.963135,0.996635,0.440615,280594
07-09-1962,0,1.017573,0.97151,0.981979,0.434136,262684
10-09-1962,0,0.98826,0.975698,0.98826,0.436912,71641
11-09-1962,0,1.017573,0.998729,1.00501,0.444318,214923
12-09-1962,0,1.038511,0.98826,1.038511,0.459128,525368
13-09-1962,0,1.051073,1.017573,1.025948,0.453575,608949
14-09-1962,0,1.067824,1.025948,1.044792,0.461905,704470
17-09-1962,0,1.069917,1.04898,1.051073,0.464682,495517
18-09-1962,0,1.086668,1.051073,1.053167,0.465608,656710
19-09-1962,0,1.063636,1.038511,1.046886,0.462831,268654
20-09-1962,0,1.055261,1.013386,1.013386,0.44802,280594
21-09-1962,0,1.021761,0.975698,1.009198,0.446169,352235
24-09-1962,0,0.98826,0.965229,0.97151,0.429507,441786
25-09-1962,0,0.990354,0.940103,0.981979,0.436015,382086
26-09-1962,0,0.984073,0.887759,0.917072,0.407195,447757
27-09-1962,0,0.950572,0.898228,0.904509,0.401617,674620
28-09-1962,0,0.944291,0.914978,0.933822,0.414633,268654
01-10-1962,0,0.933822,0.914978,0.917072,0.407195,173133
02-10-1962,0,0.952666,0.912884,0.93801,0.416492,650740
03-10-1962,0,0.958947,0.925447,0.925447,0.410914,197013
04-10-1962,0,0.95476,0.931728,0.95476,0.423929,119402
05-10-1962,0,0.97151,0.952666,0.97151,0.431367,286564
08-10-1962,0,0.975698,0.958947,0.958947,0.425789,71641
09-10-1962,0,0.98826,0.952666,0.98826,0.438804,429846
10-10-1962,0,0.990354,0.95476,0.95476,0.423929,191043
11-10-1962,0,0.967323,0.948479,0.95476,0.423929,95521
12-10-1962,0,0.95476,0.946385,0.950572,0.42207,137312
15-10-1962,0,0.963135,0.933822,0.963135,0.427648,232833
16-10-1962,0,0.97151,0.950572,0.95476,0.423929,191043
17-10-1962,0,0.95476,0.923353,0.933822,0.414633,137312
18-10-1962,0,0.940103,0.92126,0.925447,0.410914,256714
19-10-1962,0,0.925447,0.889853,0.889853,0.39511,364175
22-10-1962,0,0.889853,0.845884,0.871009,0.386742,477607
23-10-1962,0,0.887759,0.839602,0.845884,0.375586,334325
24-10-1962,0,0.896134,0.808196,0.896134,0.397898,626859
25-10-1962,0,0.879384,0.841696,0.86054,0.382094,238803
26-10-1962,0,0.866821,0.854259,0.856353,0.380235,83581
29-10-1962,0,0.900322,0.873103,0.873103,0.387672,191043
30-10-1962,0,0.908697,0.875197,0.891947,0.396039,310445
31-10-1962,0,0.896134,0.885665,0.887759,0.39418,71641
01-11-1962,0,0.902416,0.883572,0.902416,0.400688,173133
02-11-1962,0,0.92126,0.891947,0.912884,0.405336,429846
05-11-1962,0,0.946385,0.906603,0.929635,0.412773,244774
07-11-1962,0,0.944291,0.904509,0.925447,0.410914,179103
08-11-1962,0,0.944291,0.92126,0.923353,0.409984,286564
09-11-1962,0,0.946385,0.92126,0.929635,0.412773,304474
12-11-1962,0,0.958947,0.93801,0.958947,0.425789,220893
13-11-1962,0,0.967323,0.93801,0.95476,0.423929,256714
14-11-1962,0,0.977791,0.946385,0.97151,0.431367,376116
15-11-1962,0,0.992448,0.958947,0.958947,0.425789,334325
16-11-1962,0,0.979885,0.958947,0.963135,0.427648,119402
19-11-1962,0,0.975698,0.950572,0.950572,0.42207,101491
20-11-1962,0,0.963135,0.950572,0.958947,0.425789,161192
21-11-1962,0,0.990354,0.95476,0.990354,0.439734,483577
23-11-1962,0,1.030136,0.994542,1.009198,0.4481,686560
26-11-1962,0,1.034323,0.98826,1.019667,0.452749,322385
27-11-1962,0,1.030136,1.011292,1.028042,0.456467,304474
28-11-1962,0,1.040605,1.017573,1.030136,0.457398,358205
29-11-1962,0,1.055261,1.038511,1.053167,0.467624,519398
30-11-1962,0,1.063636,1.030136,1.057355,0.469483,441786
03-12-1962,0,1.046886,1.009198,1.034323,0.459257,167162
04-12-1962,0,1.084574,1.042698,1.08248,0.480639,459697
05-12-1962,0,1.122262,1.078292,1.080386,0.479709,555218
06-12-1962,0,1.103418,1.063636,1.090855,0.484358,340295
07-12-1962,0,1.092949,1.080386,1.086668,0.482499,143282
10-12-1962,0,1.095043,1.046886,1.046886,0.464835,298504
11-12-1962,0,1.067824,1.038511,1.046886,0.464835,208953
12-12-1962,0,1.080386,1.046886,1.076199,0.47785,161192
13-12-1962,0,1.080386,1.069917,1.069917,0.47506,131342
14-12-1962,0,1.084574,1.055261,1.084574,0.481569,232833
17-12-1962,0,1.105511,1.076199,1.076199,0.47785,292534
18-12-1962,0,1.080386,1.063636,1.063636,0.472272,167162
19-12-1962,0,1.078292,1.061542,1.076199,0.47785,119402
20-12-1962,0,1.086668,1.072011,1.078292,0.47878,137312
21-12-1962,0,1.086668,1.059448,1.059448,0.470413,71641
24-12-1962,0,1.051073,1.038511,1.051073,0.466694,107462
26-12-1962,0,1.061542,1.042698,1.061542,0.473228,71641
27-12-1962,0,1.063636,1.038511,1.040605,0.463894,89551
28-12-1962,0,1.038511,1.030136,1.038511,0.462961,179103
31-12-1962,0,1.051073,1.030136,1.030136,0.459227,214923
02-01-1963,0,1.038511,1.000823,1.025948,0.45736,113432
03-01-1963,0,1.072011,1.034323,1.072011,0.477895,101491
04-01-1963,0,1.111793,1.080386,1.109699,0.494696,447757
07-01-1963,0,1.113887,1.097136,1.097136,0.489095,131342
08-01-1963,0,1.109699,1.090855,1.107605,0.493762,238803
09-01-1963,0,1.139012,1.118074,1.120168,0.499363,417906
10-01-1963,0,1.130637,1.109699,1.130637,0.50403,226863
11-01-1963,0,1.143199,1.134824,1.139012,0.507763,173133
14-01-1963,0,1.147387,1.126449,1.128543,0.503097,119402
15-01-1963,0,1.147387,1.134824,1.139012,0.507763,125372
16-01-1963,0,1.143199,1.130637,1.13273,0.504963,286564
17-01-1963,0,1.147387,1.126449,1.147387,0.511497,208953
